idx,t_rel_s,latency_s,status,ttft_s,avg_tbt_s,worst_tbt_s
0,0.016822397999931127,0.9016163900014362,ok,0.05715608596801758,0.017552728238313095,0.08714675903320312
1,1.0019536620002327,0.5637023269991914,ok,0.022874116897583008,0.020173274553739108,0.09436869621276855
2,2.001138534000347,0.8045076220005285,ok,0.06578636169433594,0.018065768480300903,0.09218859672546387
3,2.50236582099933,0.8612751549990207,ok,0.3454718589782715,0.020511080821355183,0.08675336837768555
4,3.0010775179998745,0.9453787339989503,ok,0.33987998962402344,0.011506983574400557,0.011806249618530273
5,3.3341174889992544,0.6835123140008363,ok,0.044307708740234375,0.011720703198359562,0.014580249786376953
6,3.6683826589996897,0.8204412560007768,ok,0.36678338050842285,0.01422566572825114,0.014508724212646484
7,4.251077934999557,0.8689024440009234,ok,0.28079938888549805,0.018254910745928363,0.0871591567993164
8,4.500941749000049,0.952737244000673,ok,0.3953995704650879,0.01224928010593761,0.01441502571105957
9,4.750728204000552,0.5066017440003634,ok,0.1279134750366211,0.01149732271830241,0.012133598327636719
10,5.200181537999015,0.8965044159995159,ok,0.2949347496032715,0.016528892517089843,0.08456587791442871
11,5.40159031300027,0.6835174019997794,ok,0.09451580047607422,0.01667669941397274,0.08456587791442871
12,5.60028088999934,0.9651292850012396,ok,0.38759684562683105,0.013091058958144415,0.026856660842895508
13,6.0007205290003185,0.8856734699984372,ok,0.38973474502563477,0.011488829340253557,0.012017488479614258
14,6.168849665999005,0.5573612930002128,ok,0.21108269691467285,0.011507298265184675,0.012017488479614258
15,6.333254511999257,0.6262381510005071,ok,0.05675101280212402,0.01181784081966319,0.027152538299560547
16,6.500661993999529,0.5623332349987322,ok,0.39372849464416504,0.011514590336726261,0.011955022811889648
17,6.6676058110006124,0.6237585100006982,ok,0.22132468223571777,0.01146770968581691,0.011955022811889648
18,6.833443535999322,0.591896600999462,ok,0.06085991859436035,0.012186987059456962,0.026631832122802734
19,7.000647339998977,0.8593927849997272,ok,0.38449931144714355,0.011458122730255127,0.012043237686157227
20,7.168234961000053,0.9393803169987223,ok,0.21262574195861816,0.011764319737752278,0.026535987854003906
21,7.333537749000243,0.5380467260001751,ok,0.042386770248413086,0.011458106157256336,0.012043237686157227
22,7.500543444999494,0.9240096970006562,ok,0.39514660835266113,0.011924649393835734,0.026331424713134766
23,7.833445385000232,0.5136947959999816,ok,0.06334805488586426,0.01145923137664795,0.012048482894897461
24,8.000520589999724,0.8075057030000607,ok,0.38579702377319336,0.011563151223318918,0.014250755310058594
25,8.14477017399986,0.6215437970004132,ok,0.2363109588623047,0.01141277700662613,0.011902332305908203
26,8.42972809099956,0.7881563650007593,ok,0.40300583839416504,0.011473581194877625,0.011830568313598633
27,8.571448955999585,0.6883037620009418,ok,0.2550525665283203,0.011562073931974523,0.014482498168945312
28,8.857745491999594,0.8444471610000619,ok,0.3847782611846924,0.011981790130202835,0.026968717575073242
29,9.001250502000403,0.6777720339996449,ok,0.2361307144165039,0.011991051265171596,0.026968717575073242
30,9.125965900000665,0.6350425799992081,ok,0.10977411270141602,0.011943181355794271,0.026968717575073242
31,9.250989435999145,0.7524756149996392,ok,0.39535021781921387,0.011607646942138672,0.012095928192138672
32,9.375958381999226,0.7196772940005758,ok,0.26831841468811035,0.01160316853909879,0.012095928192138672
33,9.500306382999042,0.6070971400004055,ok,0.14161157608032227,0.011601441784908897,0.012095928192138672
34,9.625350158999936,0.6181069140002364,ok,0.02635645866394043,0.01201459268728892,0.026391983032226562
35,9.75034589399911,1.1362799430007726,ok,0.39020776748657227,0.011864990484519083,0.026937484741210938
36,9.875240871000642,0.7140628080014721,ok,0.2629818916320801,0.011541514783292203,0.011853456497192383
37,10.000645743999485,0.5196242279998842,ok,0.14768552780151367,0.011539751483548072,0.011853456497192383
38,10.223984345000645,1.0860419280015776,ok,0.3870091438293457,0.011917515804893091,0.027374744415283203
39,10.333671430998947,0.6568557779992261,ok,0.28292202949523926,0.011615791628437658,0.012029886245727539
40,10.445005764999223,0.7130780949992186,ok,0.16769003868103027,0.011977450414137407,0.027374744415283203
41,10.556781485000101,0.6949362170016684,ok,0.05225372314453125,0.011935009406163143,0.027374744415283203
42,10.66729669400047,0.7122050620000664,ok,0.3860037326812744,0.011709011518038236,0.012430429458618164
43,10.77870787699976,0.9421570810009143,ok,0.28164124488830566,0.011958422484221283,0.026779890060424805
44,10.889800372000536,0.6673249650011712,ok,0.16506505012512207,0.012047159671783447,0.026779890060424805
45,11.000683358999595,0.6502395790012088,ok,0.0494694709777832,0.011992638309796652,0.026779890060424805
46,11.100974019000205,0.9381810419999965,ok,0.38722920417785645,0.012019683014262806,0.02678084373474121
47,11.200231528000586,0.5672389530009241,ok,0.29352760314941406,0.01171233437278054,0.012150049209594727
