idx,scheduled_t_rel_s,t_rel_s,latency_s,status,ttft_s,avg_tbt_s,worst_tbt_s
27,5.467,5.467274382999676,1.5052085349998379,ok,0.06236646799970913,0.01826348820252895,0.057775192000008246
28,5.733,5.734035030999621,1.5006285709996519,ok,0.06475810299980367,0.018175243708862546,0.05768915899989224
29,6.115,6.115810278999561,1.7876568619994941,ok,0.06345141200017679,0.02182501584809847,0.09980283299955772
30,6.173,6.173351003999414,1.7446051189999707,ok,0.09863863099963055,0.020834821164556424,0.09980792200076394
31,6.201,6.201472607999676,1.7162551399997028,ok,0.07362637200003519,0.02079244320252713,0.09987812300005317
32,6.431,6.431609450999531,1.751314402999924,ok,0.0665748800001893,0.02132546455695889,0.09980649499993888
33,6.632,6.632972425999469,1.9173906089999946,ok,0.09820475099968462,0.023027135177218515,0.10115367099933792
34,6.661,6.661727544999849,1.8894844630003718,ok,0.07264409399977012,0.022997702379753616,0.10122620999936771
35,6.833,6.834075770999334,2.0173630780000167,ok,0.06789954200030479,0.024676394531651786,0.10122631299964269
36,7.173,7.1732223129993145,2.507963990999997,ok,0.06345992499973363,0.030942771493674984,0.22969153000030929
37,7.345000000000001,7.34615995599961,2.4889852570004223,ok,0.10771711100005632,0.0301422575822828,0.23002198599988333
38,7.401999999999999,7.403084945999581,2.4324375360001795,ok,0.05368523500055744,0.030110571620246482,0.22971466399940255
39,7.4879999999999995,7.48837523399925,2.408630863000326,ok,0.10441448100027628,0.029166936443035883,0.23002614100005303
40,7.545999999999999,7.546185955999135,2.350983289999931,ok,0.08748653500060755,0.02865165049366578,0.23002897599963035
41,7.574999999999999,7.57615803599947,2.321067761999984,ok,0.06047690299965325,0.028614896075954608,0.2294416849999834
42,7.661,7.662026568999863,2.2982164279992503,ok,0.11118979699949705,0.027683686924054984,0.22971809099999518
43,7.718999999999999,7.720110190999549,2.2399813560004986,ok,0.05622957000014139,0.027642001810127572,0.2296869190004145
44,7.776,7.776434979999976,2.215415364999899,ok,0.0692225620005047,0.02716666765822014,0.22975810899970384
45,8.025,8.025935781999578,2.3573251300003903,ok,0.05870732500079612,0.02909605810126305,0.2300272699994821
46,8.101,8.101850500999717,2.578288249000252,ok,0.06562822300020343,0.03180550208860121,0.22971612599940272
47,8.202,8.202765363999788,2.578169658999286,ok,0.062331395000001066,0.03184574439240615,0.23002883000026486
48,8.278,8.280218920999687,2.6743240919995515,ok,0.10657831000025908,0.032502817810117324,0.2300298380005188
49,8.303,8.30442591099927,2.6503683500004627,ok,0.12361702300040633,0.03198395968353642,0.22969365599965386
50,8.328,8.32870497299973,2.6249806240002727,ok,0.09929981300047075,0.03197029864556118,0.22945083499962493
51,8.353,8.353711374999875,2.6013098840003295,ok,0.07703876399955334,0.03195260003797592,0.22971873200003756
52,8.454,8.45507181299945,2.548616587999277,ok,0.0632665539997106,0.03145978196202514,0.2302215250001609
53,8.554,8.554830931999277,2.5095539980002286,ok,0.0657602000001134,0.03093371624050587,0.23013297400029842
54,8.63,8.630818662999445,2.5041685480000524,ok,0.09960686699923826,0.030437295025324062,0.23021886799961067
55,8.655,8.655285300999822,2.479547351999827,ok,0.07794456300052843,0.03039972432910688,0.23018213100021967
56,8.781,8.781555486999423,2.771641248999913,ok,0.07128047400055948,0.03506925492207278,0.23020090999943932
57,9.0,9.00086907899913,2.955886336000731,ok,0.06348769500073104,0.03661229539240502,0.2302208340006473
58,9.067,9.067533833999732,2.927305024000816,ok,0.10727168200082815,0.035696442468351845,0.1912634619993696
59,9.09,9.09132453499933,2.902427861000433,ok,0.1254265170000508,0.035151546455703675,0.1852736470000309
60,9.135,9.135908073999417,2.859042807000151,ok,0.12404306100052054,0.03462006967087682,0.1851017539993336
61,9.157,9.157890206999582,2.8365973280006074,ok,0.10214790900045045,0.034612946632904235,0.18508454699986032
62,9.179,9.180005363999953,2.8148942640000314,ok,0.12222412899973278,0.03408425803797711,0.185107479999715
63,9.224,9.224962081999365,2.7700433979998706,ok,0.11866107300011208,0.033561631341767734,0.18510159600009501
64,9.247,9.247320811999998,2.747304933999658,ok,0.09624827900006494,0.03355749175949037,0.18500914099968213
