idx,scheduled_t_rel_s,t_rel_s,latency_s,status,ttft_s,avg_tbt_s,worst_tbt_s,tokens_received,gen_chars,saw_done,finish_reason
32,6.431,6.43108186399877,1.3555250580011489,ok,0.053610411001500324,0.016479614392388795,0.02657426000041596,80,475,True,length
33,6.632,6.632669451999391,1.3503130939989205,ok,0.0552011620002304,0.01639347643036741,0.02657705999990867,80,480,True,length
34,6.661,6.661225746000127,1.338773597999534,ok,0.04033585300021514,0.01643560346834604,0.026605338000081247,80,586,True,length
35,6.833,6.833336697998675,1.3536626099994464,ok,0.045773296000334085,0.016555218240498534,0.026574162000542856,80,417,True,length
36,7.173,7.173613670998748,1.3980548569998064,ok,0.053946977999657975,0.01701357921519036,0.026606893999996828,80,404,True,length
37,7.345000000000001,7.3459876449996955,1.4252197710011387,ok,0.05950327400023525,0.017287106582282635,0.026733036000223365,80,305,True,length
38,7.401999999999999,7.402653760998874,1.4274193109995394,ok,0.05475078600102279,0.017375230696185857,0.026775586999065126,80,604,True,length
39,7.4879999999999995,7.488485088999369,1.4260433469989948,ok,0.0535177499987185,0.017373409000010956,0.026732188000096357,80,341,True,length
40,7.545999999999999,7.546332551999512,1.4207466980005847,ok,0.047537225000269245,0.01738209332912056,0.027049440001064795,80,505,True,length
41,7.574999999999999,7.575892828999713,1.4247106399998302,ok,0.05457753600057913,0.017343144430371837,0.027043064001190942,80,399,True,length
42,7.661,7.661129215999608,1.4261553140004253,ok,0.05327787800160877,0.01737781153163188,0.027216730999498395,80,404,True,length
43,7.718999999999999,7.7200071179995575,1.4240615899998375,ok,0.04796295199957967,0.017418606784821915,0.02723535499899299,80,418,True,length
44,7.776,7.776263603998814,1.430084342000555,ok,0.046508195000569685,0.017513137189861125,0.026754072001494933,80,368,True,length
45,8.025,8.026081649999469,1.478438610000012,ok,0.0587629060009931,0.017970261000001198,0.027046792998589808,80,593,True,length
46,8.101,8.101908107999407,1.4848606129999098,ok,0.05145458500010136,0.018144055151907784,0.027051237999330624,80,333,True,length
47,8.202,8.20277702599924,1.4863030599990452,ok,0.05217386799995438,0.01815316312657367,0.026741748999484116,80,426,True,length
48,8.278,8.27828182399935,1.4813548010006343,ok,0.05181820899997547,0.018095067037980306,0.026751438999781385,80,415,True,length
