idx,t_rel_s,latency_s,status,ttft_s,avg_tbt_s,worst_tbt_s
0,0.025322923999738123,1.2861327140008143,ok,0.06817612800023198,0.015416789367089775,0.05556379999961791
1,0.4011535820000063,1.2839322529998753,ok,0.06749855499947444,0.015397520354436213,0.05557121600031678
2,1.0008935009991546,1.3390846040001634,ok,0.0750938959999985,0.01599951263290942,0.05680982000012591
3,1.2009119439999267,1.375701195000147,ok,0.0689638459998605,0.016540334936703576,0.056717428999945696
4,1.4008135459998812,1.3293639430003168,ok,0.06323806499949569,0.016026390544308773,0.056735350000053586
5,1.8010484649994396,1.2881486379992566,ok,0.06704608099971665,0.016280915053333348,0.08154426199962472
6,2.112860651999654,1.2385316139998395,ok,0.05972173299960559,0.014921218797467248,0.05372676400020282
7,2.333693504999246,1.3661416439999812,ok,0.06195106199993461,0.016937153818179906,0.10042293600054109
8,2.5007011529996817,1.324057496000023,ok,0.06179253000027529,0.0159776542278462,0.10038096300013422
9,3.3815713509993657,1.7141747039995607,ok,0.0670497629998863,0.021961197359996732,0.10057984699960798
10,3.4769788489993516,1.7198084080000626,ok,0.10763509800017346,0.020407035949367266,0.10088560599979246
11,3.5248790419991565,1.6719679890002226,ok,0.10187677900012204,0.020390583207794313,0.10079907099952834
12,3.572442065999894,1.6241150639998523,ok,0.05732318700029282,0.01983244726582172,0.1007860219997383
13,4.000896740999451,1.8183496880001258,ok,0.11151287499978935,0.02216649724675347,0.0849876439997388
14,4.040075003999846,1.7793011610001486,ok,0.1147134000002552,0.021070532088604616,0.060224134999771195
15,4.079223312999602,1.7398815830001695,ok,0.07871004699973128,0.021573287064936043,0.1221004279996123
16,4.237399498999366,1.6939388420005344,ok,0.07335235700065823,0.020513271202524934,0.060204913999768905
17,4.316959625999516,1.642528375999973,ok,0.06252710900025704,0.019999665835435918,0.06051658900014445
18,4.395767820999936,1.6057797929997832,ok,0.06748651699945185,0.019471719683552473,0.06022660700000415
19,4.513934788999904,1.5581237699998383,ok,0.10121766700012813,0.019425129546665025,0.0587200859999939
20,4.5543018959997426,1.517118040999776,ok,0.06438429999980144,0.018388634253168203,0.05859171999964019
21,4.633368090999284,1.4819967180001186,ok,0.06888867099951312,0.017886939455705412,0.058720165000522684
22,5.034073111999533,1.5991855849997592,ok,0.06399071800024103,0.01943244293670432,0.09983193799962464
23,5.134154909999779,1.638385157999437,ok,0.06390234199989209,0.019929772810129077,0.09973060399988753
24,5.200253716999214,1.6009566660004566,ok,0.06690826399972138,0.01941795663291878,0.09985313700053666
25,5.267249887999242,1.5625135709997267,ok,0.10849729899928207,0.01840490144304222,0.09988787699967361
