idx,scheduled_t_rel_s,t_rel_s,latency_s,status,ttft_s,avg_tbt_s,worst_tbt_s
0,0.0,0.011085046999141923,1.2706489470001543,ok,0.07593936800003576,0.015122533556942598,0.04816824400040787
1,0.3999999999999999,0.4011009659989213,1.2622540419997677,ok,0.06528473899925302,0.015151013075951538,0.04840182999942044
2,1.0,1.0014210699991963,1.3028449280009227,ok,0.06431451500066032,0.015677262265819104,0.04856700699929206
3,1.2000000000000002,1.2009915439994074,1.3066702020005323,ok,0.06688360200132593,0.01569302498733756,0.048704785000154516
4,1.4,1.4017501599992102,1.2961180239999521,ok,0.054138216999490396,0.015720901354442606,0.04871321199971135
5,1.7999999999999998,1.8010103779997735,1.2700327359998482,ok,0.06477294099931896,0.016069749626670574,0.048707838001064374
6,2.111,2.111389755998971,1.2359339940012433,ok,0.06722798600094393,0.01479327148099631,0.048714235999796074
7,2.333,2.3337078689983173,1.3399759349995293,ok,0.0626035179993778,0.016588833129874244,0.09023551900099847
8,2.5,2.5008394039996347,1.2980346040003496,ok,0.05770328200014774,0.01569998767088323,0.0900435200001084
9,3.3810000000000002,3.3816034229985235,1.5993910030010738,ok,0.056239658000777126,0.020574965853326528,0.11810663700089208
10,3.476,3.4766390749991842,1.5748918440003763,ok,0.10151700300048105,0.018650111050618173,0.08980114099904313
11,3.524,3.5247331809987372,1.5265682110002672,ok,0.09003404400027648,0.01865590644155855,0.08936723599981633
12,3.572,3.5725218719999248,1.4791154819995427,ok,0.044812060999902315,0.018155537936694645,0.08983470800012583
13,4.0,4.00187432599887,1.675013358999422,ok,0.08821150000039779,0.02060761279220993,0.078594038999654
14,4.039,4.040166592998503,1.6364223889995628,ok,0.08654285199918377,0.019618327240510276,0.053282113000022946
15,4.079,4.0810637579998,1.5956478439984494,ok,0.04828714699942793,0.020095361415592556,0.07595152599969879
16,4.237,4.23814756199863,1.6156668670009822,ok,0.06657003200052714,0.01960840653163923,0.05357051099963428
17,4.316,4.3169133979990875,1.578993230999913,ok,0.06584728300003917,0.01915339798734415,0.05325331000130973
18,4.395,4.3972757369992905,1.5408779919998778,ok,0.06424975800109678,0.018691175658216395,0.05325149799864448
19,4.513,4.514204194998456,1.5079403279996768,ok,0.10231344599924341,0.0187412762666645,0.05195490099868039
20,4.553,4.553265504999217,1.4693695419991855,ok,0.06583593699906487,0.01776595153164117,0.051561942000262206
21,4.632,4.6340482010000414,1.4301788960001431,ok,0.06321192100040207,0.01730304692404089,0.05197091499940143
22,5.033,5.034064032999595,1.5417388539990498,ok,0.06667052099874127,0.01867135965822635,0.05293966899989755
23,5.133,5.133654804998514,1.4977857119993132,ok,0.059368696000092314,0.018207409999998658,0.052636555999924894
24,5.2,5.200214741998934,1.4949153190009383,ok,0.056077143000948126,0.01821281316455198,0.052772786000787164
25,5.267,5.2674829509996925,1.5098705889995472,ok,0.10004625999863492,0.01784556206331229,0.05371288700007426
26,5.3,5.300323415998719,1.4771303870002157,ok,0.06945976099996187,0.017818425607586078,0.05371010799899523
27,5.467,5.467311835998771,1.4723126440003398,ok,0.06582793200141168,0.017802963265803787,0.05377246700118121
28,5.733,5.733306611999069,1.4300401159998728,ok,0.06271511500017368,0.017307579177213483,0.05403873799878056
29,6.115,6.116068183999232,1.6799978950002696,ok,0.054103095000755275,0.020580626784803942,0.05403786299939384
30,6.173,6.173411033998491,1.6886870029993588,ok,0.0944552709988784,0.02017987234176883,0.0538170239997271
31,6.201,6.201564991999476,1.6597248239995679,ok,0.06886137299989059,0.0201371105949299,0.05404329299926758
32,6.431,6.431837006999558,1.6135362129989517,ok,0.05850499499865691,0.019683581721518392,0.05381738699907146
33,6.632,6.6320957749994704,1.8064878550012509,ok,0.09912625800097885,0.021611912544300785,0.09059258999877784
34,6.661,6.661712828999953,1.7760334560007323,ok,0.07249836800110643,0.021563334303785188,0.09058441300112463
35,6.833,6.8331154249990504,1.8177442249998421,ok,0.06361847999869497,0.02220363503798995,0.09104771800048184
