idx,scheduled_t_rel_s,t_rel_s,latency_s,status,ttft_s,avg_tbt_s,worst_tbt_s
0,0.0,0.025151009999717644,1.2837843879997308,ok,0.06786392300000443,0.015391062354427948,0.053757360000417975
1,0.3999999999999999,0.40086225400045805,1.2808709569999337,ok,0.0680873960000099,0.015351346734169517,0.053765935999763315
2,1.0,1.0010567870003797,1.3312117949999447,ok,0.07287881499996729,0.015927736215186845,0.053678547000345134
3,1.2000000000000002,1.2007120509997549,1.3668819449994771,ok,0.0665117589996953,0.01646003339240601,0.05489892900004634
4,1.4,1.4010824850001882,1.3234255409997786,ok,0.05930413500027498,0.01600091210125759,0.05495484800030681
5,1.7999999999999998,1.8020494350002991,1.2807877730001564,ok,0.05831877899981919,0.01629921679999825,0.05495778099975723
6,2.111,2.11200682100025,1.2470683619994816,ok,0.06662659500034351,0.014941934278472735,0.054950684999312216
7,2.333,2.3337446980003733,1.3735952530005306,ok,0.06803720300013083,0.016954829896101066,0.10086942799989629
8,2.5,2.5001977760002774,1.3316282400001,ok,0.07007591300043714,0.015968640632907614,0.10099025599993183
9,3.3810000000000002,3.3825314969999454,1.6676344229999813,ok,0.05917223699998431,0.02144575470666799,0.10086888900059421
10,3.476,3.4770682859998487,1.6720038809999096,ok,0.09902366999995138,0.019910936113924034,0.10006567700020241
11,3.524,3.5249831529999938,1.6241685880004297,ok,0.09471009000026243,0.019862903337667236,0.0999375900000814
12,3.572,3.572673728999689,1.5761374429994248,ok,0.04998382799931278,0.019318016873420434,0.09987868200005323
13,4.0,4.000173913999788,1.8038116139996418,ok,0.10591858499992668,0.022050107766234135,0.08369213300011324
14,4.039,4.039487363999797,1.7653915450000568,ok,0.10786554400056048,0.020981135113921665,0.060076677999859385
15,4.079,4.079593655000281,1.7251845959999628,ok,0.07070845199996256,0.021486414415590703,0.0838288900004045
16,4.237,4.238011512000412,1.6825248699997246,ok,0.0657721159996072,0.020464872227858918,0.06010329399941838
17,4.316,4.317925987000308,1.6444988390003346,ok,0.06952157100022305,0.01993608213924054,0.06006789100047172
18,4.395,4.395617326999854,1.594669929999327,ok,0.061131811999985075,0.019411544911385643,0.06004460799977096
19,4.513,4.513207863000389,1.5619384450001235,ok,0.11014819400043052,0.01935683702666817,0.05810468899926491
20,4.553,4.553815078000298,1.5213934980001795,ok,0.0724421490003806,0.018340963354430757,0.05810962899977312
21,4.632,4.6324561159999575,1.472280949999913,ok,0.06373166199955449,0.017829384506328524,0.058105507999243855
22,5.033,5.033887399000378,1.6051454079997711,ok,0.07073601100000815,0.019422585708859595,0.10180846500043117
23,5.133,5.133761795999817,1.64703845799977,ok,0.06920521400024882,0.019972178139245376,0.10202323799967417
24,5.2,5.200647005999599,1.6080664910004998,ok,0.07129919999988488,0.01945237903797948,0.10181321100026253
25,5.267,5.267366473000038,1.5557646010001918,ok,0.09782087900020997,0.018454681632912195,0.10184492400003364
26,5.3,5.301186974000302,1.5220302289999381,ok,0.0669316589992377,0.01841877753164986,0.10184413200022391
27,5.467,5.467868656999599,1.5219658730002266,ok,0.06818400500014832,0.01840194435442731,0.10180873700028314
28,5.733,5.733588654000414,1.5211389320002127,ok,0.07238672400035284,0.01833824440506495,0.10165532299924962
29,6.115,6.115988010999899,1.8123301550003816,ok,0.11162625599990861,0.021527491949373027,0.10131078599988541
30,6.173,6.174150306000229,1.7549828159999379,ok,0.09599229900049977,0.020999578455694407,0.10137887599921669
31,6.201,6.202091127999665,1.727147407999837,ok,0.0713035899998431,0.020959859594940893,0.10138372399978834
32,6.431,6.431938689999697,1.7639674540005217,ok,0.06572003100063739,0.021496450860755845,0.1014056050007639
33,6.632,6.632720980999693,1.9419045249996998,ok,0.10175452600014978,0.02329282843037376,0.10416285199971753
34,6.661,6.661409489000107,1.9130120580002767,ok,0.07645141099965258,0.023247262481013824,0.10415578199990705
35,6.833,6.833417494999594,2.048593188999803,ok,0.07185208800001419,0.025021675962019384,0.10416043199984415
36,7.173,7.173971443000482,2.543129604000569,ok,0.06655247600065195,0.03134874426581795,0.23083747500004392
37,7.345000000000001,7.345499283999743,2.5100322689995664,ok,0.06186131199956435,0.030989134974690757,0.23084407100031967
38,7.401999999999999,7.402500502000294,2.4684682139995857,ok,0.060403649999898334,0.030481505430370932,0.23063012300008268
39,7.4879999999999995,7.488392964000013,2.4448806509999486,ok,0.11181900399969891,0.029532032556963263,0.23114938300022914
40,7.545999999999999,7.5470121710004605,2.3863460270003998,ok,0.09525608900003135,0.02900090983544205,0.23115342300025077
41,7.574999999999999,7.575205756000287,2.3584237199993368,ok,0.07020936899971275,0.028964529620254004,0.23084706900044694
42,7.661,7.6616100620003635,2.318758071999582,ok,0.10669404799955373,0.028000604151904692,0.23085006799919938
43,7.718999999999999,7.719583869000417,2.260514886999772,ok,0.05168585800038272,0.027959524075942935,0.23062680900056876
44,7.776,7.7764739309996,2.234729181000148,ok,0.06566613700033486,0.027456107632904698,0.23078828699999576
45,8.025,8.0266528559996,2.64347174500017,ok,0.06996141800027544,0.03257567245569428,0.23112134199982393
46,8.101,8.101821791000475,2.6027847139994265,ok,0.06417051900007209,0.03213398111392386,0.23062972699972306
47,8.202,8.203141416999642,2.692798398999912,ok,0.061716363000414276,0.03330448201265852,0.23063103599997703
48,8.278,8.280067464999775,2.718397966000339,ok,0.10971866999989288,0.03302106372151845,0.23084885200023564
49,8.303,8.304381314000238,2.693698760999723,ok,0.12814410400005727,0.0324750547468376,0.2306341439998505
50,8.328,8.328713134000282,2.669470194000496,ok,0.1037510790001761,0.03247725268354056,0.23062933900018834
51,8.353,8.353290648000439,2.644048887000281,ok,0.08204323900008603,0.03243004677215485,0.23064174400042248
52,8.454,8.45468355400044,2.5909316419993047,ok,0.07075750299918582,0.03190060543038041,0.2312042539997492
53,8.554,8.555323126000076,2.5916086679999353,ok,0.07467333200020221,0.03185961944303858,0.23120337900036247
54,8.63,8.630098233999888,2.7621441789997334,ok,0.11235379600020678,0.033541330683540684,0.2311187630002678
55,8.655,8.657027643999754,2.7353714139999283,ok,0.08837718300037523,0.033506061164557704,0.2311552249993838
56,8.781,8.781314697000198,2.7692932480003947,ok,0.06771954800024105,0.03508493920779003,0.23108771599981992
57,9.0,9.000598534000346,2.967738188000112,ok,0.06157810100012284,0.036786496139248365,0.23115472500012402
58,9.067,9.067389271000138,2.9392001180003717,ok,0.10667970700069418,0.03585451288607238,0.1916216509998776
59,9.09,9.090186352999808,2.9163555499999347,ok,0.12673022399940237,0.03531151408860521,0.18889272999967943
60,9.135,9.135799894000229,2.8709397499997067,ok,0.12350064699967334,0.03477752732911379,0.1891483640001752
61,9.157,9.157923470000242,2.849091131000023,ok,0.1014081539997278,0.03478056945569054,0.18908209199980774
62,9.179,9.179281374000311,2.8271818450002684,ok,0.12310918499952095,0.03422856926582553,0.18887152100069216
63,9.224,9.225116788999912,2.7816702469999655,ok,0.11933530199985398,0.03370027632911531,0.189151683000091
64,9.247,9.247484163999616,2.758885234000445,ok,0.09703457200066623,0.03369397443037985,0.1894728479992409
65,9.269,9.269538847000149,2.7373030030003065,ok,0.0778006299997287,0.03366441524050532,0.1891534779997528
66,9.359,9.359547123999619,2.6802304800003185,ok,0.10251308399983827,0.03262915311392181,0.188895365999997
67,9.381,9.38201460900018,2.6575745589998405,ok,0.12260712500028603,0.0320879991139216,0.18888006300039706
68,9.404,9.404485623000255,2.6352210250006465,ok,0.10015431600004376,0.03208926529114711,0.18913969200002612
69,9.449,9.45000932000039,2.5894311379997816,ok,0.09613416499996674,0.03156053211392945,0.18716512199989666
70,9.494,9.494292794000103,2.5450950940003167,ok,0.09435244599990256,0.03102175434177977,0.18910678199972608
71,9.538,9.538856320999912,2.499862392000068,ok,0.052896529999998165,0.03097392796202188,0.18910515599964128
72,10.04,10.042191991000436,3.9687184840004193,ok,0.11443483800030663,0.048788218556965836,0.3627818920003847
